# Wavelength(micron) Intensity(MJy/sr) Error
5.392672 3833.085448 57.635519
5.393459 3830.289791 55.430804
5.394246 3832.056190 54.296511
5.395034 3807.054570 53.076323
5.395821 3826.792940 53.631157
5.396608 3830.702479 53.708869
5.397395 3839.087007 54.458284
5.398182 3827.637813 54.684341
5.398970 3833.271602 54.687901
5.399757 3833.922729 54.440093
5.400544 3826.777179 53.907261
5.401331 3820.104493 53.572429
5.402118 3818.889722 53.301191
5.402906 3827.947331 53.656179
5.403693 3845.653306 54.356379
5.404480 3834.839133 55.180024
5.405267 3841.306915 55.955020
5.406054 3836.069716 56.858982
5.406842 3841.201889 57.462954
5.407629 3845.761975 58.119452
5.408416 3845.100313 58.374347
5.409203 3850.133383 58.944790
5.409990 3842.139329 59.060086
5.410778 3853.846101 59.967517
5.411565 3840.580864 59.412514
5.412352 3845.463174 60.053317
5.413139 3845.508872 60.283104
5.413926 3839.674827 60.637249
5.414714 3857.004579 60.977352
5.415501 3861.328477 59.936108
5.416288 3858.331703 59.005866
5.417075 3854.844643 57.812078
5.417862 3857.126382 56.535781
5.418649 3854.429449 55.902354
5.419437 3837.979045 55.182110
5.420224 3839.411384 54.665011
5.421011 3838.201176 53.991166
5.421798 3846.146126 53.616077
5.422585 3850.918679 53.261475
5.423373 3851.764002 52.686641
5.424160 3856.898574 52.268877
5.424947 3867.081487 52.130380
5.425734 3868.814865 52.242403
5.426521 3861.726740 52.293544
5.427309 3865.105426 52.676304
5.428096 3869.471042 53.064303
5.428883 3879.863106 54.154159
5.429670 3867.336344 55.181908
5.430457 3874.298391 56.819270
5.431245 3894.809490 58.726884
5.432032 3892.709503 60.318054
5.432819 3909.617198 61.866615
5.433606 3920.085353 62.785884
5.434393 3919.404597 63.168033
5.435181 3924.418179 63.708515
5.435968 3955.581967 64.418369
5.436755 3934.010176 64.067887
5.437542 3968.273248 64.152744
5.438329 3998.399355 64.212933
5.439117 4009.126381 63.977717
5.439904 4060.595511 64.809843
5.440691 4063.613395 63.830675
5.441478 4097.868714 63.016492
5.442265 4107.815056 61.536725
5.443053 4112.589419 60.727663
5.443840 4130.798408 59.399888
5.444627 4150.584456 58.452407
5.445414 4184.163830 57.868788
5.446201 4212.141021 57.887487
5.446988 4245.737791 58.283926
5.447776 4265.102805 58.699080
5.448563 4244.564058 58.961766
5.449350 4185.607700 59.059637
5.450137 4109.685839 58.611850
5.450924 4048.277601 58.278266
5.451712 3998.361190 57.655357
5.452499 3960.619137 57.443565
5.453286 3935.712413 57.041562
5.454073 3913.930464 56.674515
5.454860 3921.910027 56.517616
5.455648 3928.683790 56.575359
5.456435 3913.613634 56.370050
5.457222 3921.986758 56.634266
5.458009 3920.786116 56.422918
5.458796 3935.979349 56.135459
5.459584 3919.770340 55.541760
5.460371 3920.265760 54.918339
5.461158 3912.170470 54.397167
5.461945 3910.456239 53.843341
5.462732 3906.119480 53.679028
5.463520 3890.190546 53.202187
5.464307 3896.141535 53.571002
5.465094 3899.110084 53.769789
5.465881 3903.330997 54.778522
5.466668 3894.348914 55.344576
5.467456 3906.815322 56.393704
5.468243 3908.181927 57.197257
5.469030 3906.248943 58.028006
5.469817 3918.848576 58.749837
5.470604 3913.616914 59.070310
5.471391 3890.160993 59.284919
5.472179 3906.469737 60.329437
5.472966 3891.879954 61.069591
